rowid,idhspid,DHSID,mean_pn,num
1,85401         1 2  6,BF199300000001,0.32752258243646226,19
2,85401         1 5 12,BF199300000001,0.3473523238108701,18
3,85401         1 6  2,BF199300000001,0.34312214293026194,18
4,85401         113  2,BF199300000001,0.3293339643448333,18
5,85401         113  2,BF199300000001,0.29753553784673287,18
6,85401         2 1 12,BF199300000002,0.32316162630932327,19
7,85401         2 1 12,BF199300000002,0.34419881758068,18
8,85401         2 1 15,BF199300000002,0.32287383756128424,18
9,85401         2 1 17,BF199300000002,0.2775777533344477,19
10,85401         2 1 21,BF199300000002,0.31449772355137323,19
11,85401         2 3 10,BF199300000002,0.2729821892858867,18
12,85401         2 6  2,BF199300000002,0.3247845468936282,19
13,85401         2 9  2,BF199300000002,0.3454569734674068,18
14,85401         210  5,BF199300000002,0.25171190706172425,19
15,85401         210  5,BF199300000002,0.32752258243646226,19
16,85401         211  2,BF199300000002,0.2528691301031227,19
17,85401         211  2,BF199300000002,0.34419881758068,18
18,85401         214  2,BF199300000002,0.29615035381010996,19
19,85401         215  2,BF199300000002,0.32974400863735565,19
20,85401         216  2,BF199300000002,0.27863672956373764,19
21,85401         218  2,BF199300000002,0.32287383756128424,18
22,85401         218 13,BF199300000002,0.34607170975941015,18
23,85401         218 19,BF199300000002,0.2528691301031227,19
24,85401         218 19,BF199300000002,0.3341629634418292,18
25,85401         218 19,BF199300000002,0.34607170975941015,18
26,85401         219  5,BF199300000002,0.31412303022548044,19
27,85401         220  2,BF199300000002,0.2992708456821075,19
28,85401         3 1  2,BF199300000003,0.3247845468936282,19
29,85401         3 3  2,BF199300000003,0.27863672956373764,19
30,85401         3 3  2,BF199300000003,0.32287383756128424,18
31,85401         3 6  2,BF199300000003,0.3473523238108701,18
32,85401         3 8  1,BF199300000003,0.3408218297223767,18
33,85401         3 8 12,BF199300000003,0.30187510252666366,19
34,85401         3 8 14,BF199300000003,0.32398693534187883,19
35,85401         3 9  2,BF199300000003,0.34068428452956495,19
36,85401         311  2,BF199300000003,0.2775777533344477,19
37,85401         311  3,BF199300000003,0.29753553784673287,18
38,85401         312  2,BF199300000003,0.3373699881962406,19
39,85401         312  2,BF199300000003,0.33479328096113176,19
40,85401         314  4,BF199300000003,0.3151885785421092,19
41,85401         317  3,BF199300000003,0.2907063069495749,19
42,85401         317  6,BF199300000003,0.34607170975941015,18
43,85401         4 1  2,BF199300000004,0.32974400863735565,19
44,85401         4 1  9,BF199300000004,0.3386201749797221,18
45,85401         4 1  9,BF199300000004,0.3366106014447054,19
46,85401         4 4  2,BF199300000004,0.29615035381010996,19
47,85401         4 5  2,BF199300000004,0.29110160621745945,19
48,85401         4 7  3,BF199300000004,0.2528691301031227,19
49,85401         4 8  2,BF199300000004,0.2992708456821075,19
50,85401         4 8  2,BF199300000004,0.2705025769205581,19
51,85401         410  2,BF199300000004,0.3194452409993005,19
52,85401         410  2,BF199300000004,0.3230085100721361,19
53,85401         416  2,BF199300000004,0.3394379843446192,18
